Id	SRR12237911	SRR12237910	SRR12237909	SRR12237908	SRR12237915	SRR12237914	SRR12237913	SRR12237912
ENSG00000009694.12	65.0105	58.0318	407.171	344.141	3045.23	2956.23	211.224	228
ENSG00000009709.10	2	0	0	1	1	1	0	0
ENSG00000009724.15	290	300.118	65.0371	46	323.263	322.54	141	147
ENSG00000009765.13	308.033	328.449	64.1742	83.6799	35.3007	50.73	78.7419	59.8456
ENSG00000009780.14	926.483	876.941	682.764	716.496	1199.77	1307.48	1397.58	1583.01
ENSG00000009790.13	14.4712	26.7471	10.3377	8.23104	23.4514	29.6657	14.3203	19.5306
ENSG00000009830.10	2084	1924	1838	1744	4485	4464	4115	4102
ENSG00000009844.14	5459.19	5102.48	4496.11	4398.83	3360.27	3283.53	5058.63	5058.77
ENSG00000009950.14	159	178	665	746	76	84	70	55
ENSG00000009954.9	21009	18833	19534	18777	21675	21400	16534	19181
ENSG00000010017.12	4037	3515	3189	3166	2908	2832	5914	6617
ENSG00000010030.12	7	5	13	19	4	7	504	530
ENSG00000010072.14	1367.65	1208.69	1223.19	1039.44	1377.7	1231.24	1398.98	1485.55
ENSG00000010165.18	5817	5475	4722	4807	3746	3595	3269	3205
ENSG00000010219.12	1055.42	1047.52	934.168	961.183	568.401	579.814	220.294	180.44
ENSG00000010244.15	12974.4	11599.3	10918.2	11027.4	12045.1	11549.1	12898.5	13460.4
ENSG00000010256.9	11386	10347	13587	14271	4175	3792	9133	9955
ENSG00000010270.12	3725.98	3450.29	5019.09	5157.74	2090.9	2045.81	3028.88	3120.46
ENSG00000010278.10	12718	11211	7336	8778	1364	1417	11082	10710
ENSG00000010282.13	0	2	1	0	28	48	389	359
ENSG00000010292.11	26513.4	24055.7	31056.5	26027.7	16421	16053.7	13825.5	12777.5
ENSG00000010295.18	49.7341	45.0441	593.326	631.853	24.2002	9.36235	28.8266	25.6575
ENSG00000010310.7	31.6051	24.127	37.0725	38.579	233.72	238.681	74.8779	110.662
