id	SRR925687	SRR925688	SRR925697	SRR925703	SRR925714	SRR925716	SRR925720	SRR925721	SRR925726	SRR934634	SRR934636
ENSG00000006194.9	9.72	7.07	15.95	11.6	15.19	8.3	9.17	12.98	13.37	14.58	34.8
ENSG00000006210.6	0	0	0	23.73	8.85	0.05	0	0.79	0	0.03	0
ENSG00000006282.18	51.38	18.36	36.78	27.06	38.64	43.83	24.01	42.78	71.64	15.65	105.1
ENSG00000006283.16	0.52	0	0.49	0.78	1.29	0.23	0	0	0	0	0.27
ENSG00000006327.12	194.41	68.94	160.7	61.27	162.41	432.34	149.68	320.5	195.89	206.11	395.33
ENSG00000006377.10	0.04	1.13	0	5.97	0.74	0.46	0	0	0	0	6.25
ENSG00000006432.14	7.42	1.96	1.3	1.46	1.67	1.48	4.33	4.49	2.5	7.97	2.83
ENSG00000006451.6	17.36	14.99	19.86	23.69	19.53	17.25	18.97	39.42	21.69	11.56	10.34
ENSG00000006453.12	25.37	14.18	8.38	18.74	9.06	12.17	23.27	27.89	23.03	28.69	1.85
ENSG00000006459.9	0.13	0.84	0.37	2.37	1.62	0.39	0.83	0.47	0.17	1.44	1.91
ENSG00000006468.12	4.92	0	0.46	3.13	9.13	11.52	2.69	4.93	19.23	2.11	18.67
ENSG00000006530.14	22.99	11.93	29.1	29.43	21.7	17.83	24.43	16.86	24.87	29.15	13.72
ENSG00000006534.14	49.14	57.02	6.17	33.81	17.81	6.85	25.02	46.74	6.08	9.92	24.08
ENSG00000006555.9	1.5	6.73	0	0.12	0.23	0.06	3.09	6.98	0	2.2	0
ENSG00000006576.15	7.21	6.94	12.87	40.47	21.88	13.09	8.55	2.38	14.17	6.73	1.69
ENSG00000006606.7	0	0.22	0	0.57	0	1.38	0	0.59	0.93	0	0
ENSG00000006607.12	17.2	10.87	13.88	26.93	26.32	10.87	24.49	12.38	14.32	12.06	18.16
ENSG00000006611.14	0	0	0	0.07	0	0.16	0	0	0	0	0
ENSG00000006625.16	55.47	48.39	54.37	44.2	58	47.44	56.52	24.14	43.81	88.4	33.11
ENSG00000006634.6	14.05	7.38	18.45	50.84	29.1	13.76	13.34	5.14	23.31	17.85	9.15
ENSG00000006638.10	0.05	0.05	2.18	1.52	1.88	6.45	0.09	0.32	2.56	0.8	0.81
ENSG00000006652.12	13.13	16.47	38.1	58.08	29.8	26.43	19.08	23.89	21.73	12.54	22.4
ENSG00000006659.11	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006695.9	9.97	7.9	19.29	8.95	7.78	8.5	15.22	7.94	10.05	12.29	2.74
ENSG00000006704.9	12.39	19.93	8.67	13.58	8.15	15.85	16.36	22.04	20.62	24.25	40.18
ENSG00000006712.13	41.07	25.41	41	35.21	55.41	64.37	31.43	31.65	53.05	43.32	57.91
ENSG00000006715.14	17.12	16.63	15.91	21.83	19.92	11.01	23.94	8.82	9.72	4.13	6.46
ENSG00000006740.15	0.04	0	1.31	0.14	0.22	5	0	0	0	0.4	0.92
